Fecha,USD
2022-09-18,143.4967
2022-09-19,144.345
2022-09-20,144.6317
2022-09-21,144.9033
2022-09-22,145.1683
2022-09-23,145.4583
2022-09-24,145.4583
2022-09-25,145.4583
2022-09-26,146.2633
2022-09-27,146.5583
2022-09-28,146.8383
2022-09-29,147.09
2022-09-30,147.315
2022-10-01,147.315
2022-10-02,147.315
2022-10-03,148.2433
2022-10-04,148.5767
2022-10-05,148.9133
2022-10-06,149.1983
2022-10-07,149.1983
2022-10-08,149.1983
2022-10-09,149.1983
2022-10-10,149.1983
2022-10-11,150.7283
2022-10-12,151.0267
2022-10-13,151.3217
2022-10-14,151.6283
2022-10-15,151.6283
2022-10-16,151.6283
2022-10-17,152.53
2022-10-18,152.825
2022-10-19,153.165
2022-10-20,153.5
2022-10-21,153.8117
2022-10-22,153.8117
2022-10-23,153.8117
2022-10-24,154.7367
2022-10-25,155.0533
2022-10-26,155.3967
2022-10-27,155.6983
2022-10-28,156.0167
2022-10-29,156.0167
2022-10-30,156.0167
2022-10-31,156.895
2022-11-01,157.235
2022-11-02,157.5933
2022-11-03,157.94
2022-11-04,158.2667
2022-11-05,158.2667
2022-11-06,158.2667
2022-11-07,159.33
2022-11-08,159.7083
2022-11-09,160.0467
2022-11-10,160.3633
2022-11-11,160.7067
2022-11-12,160.7067
2022-11-13,160.7067
2022-11-14,161.7617
2022-11-15,162.1283
2022-11-16,162.4567
2022-11-17,162.795
2022-11-18,163.1467
2022-11-19,163.1467
2022-11-20,163.1467
2022-11-21,163.1467
2022-11-22,164.5233
2022-11-23,164.8467
2022-11-24,165.2133
2022-11-25,165.5883
2022-11-26,165.5883
2022-11-27,165.5883
2022-11-28,166.625
2022-11-29,166.955
2022-11-30,167.255
2022-12-01,167.685
2022-12-02,168.0933
2022-12-03,168.0933
2022-12-04,168.0933
2022-12-05,169.135
2022-12-06,169.5083
2022-12-07,169.8683
2022-12-08,169.8683
2022-12-09,169.8683
2022-12-10,169.8683
2022-12-11,169.8683
2022-12-12,171.425
2022-12-13,171.7617
2022-12-14,172.1
2022-12-15,172.425
2022-12-16,172.73
2022-12-17,172.73
2022-12-18,172.73
2022-12-19,173.645
2022-12-20,173.9317
2022-12-21,174.25
2022-12-22,174.5883
2022-12-23,174.8483
2022-12-24,174.8483
2022-12-25,174.8483
2022-12-26,175.745
2022-12-27,176.0717
2022-12-28,176.38
2022-12-29,176.7433
2022-12-30,177.1283
2022-12-31,177.1283
2023-01-01,177.1283
2023-01-02,178.1417
2023-01-03,178.4317
2023-01-04,178.6533
2023-01-05,178.94
2023-01-06,179.2433
2023-01-07,179.2433
2023-01-08,179.2433
2023-01-09,180.1367
2023-01-10,180.4017
2023-01-11,180.6883
2023-01-12,180.97
2023-01-13,181.28
2023-01-14,181.28
2023-01-15,181.28
2023-01-16,182.1633
2023-01-17,182.4917
2023-01-18,182.8033
2023-01-19,183.125
2023-01-20,183.4367
2023-01-21,183.4367
2023-01-22,183.4367
2023-01-23,184.3733
2023-01-24,184.6867
2023-01-25,185.005
2023-01-26,185.315
2023-01-27,185.63
2023-01-28,185.63
2023-01-29,185.63
2023-01-30,186.5783
2023-01-31,186.875
2023-02-01,187.3083
2023-02-02,187.6133
2023-02-03,187.95
2023-02-04,187.95
2023-02-05,187.95
2023-02-06,189.095
2023-02-07,189.4567
2023-02-08,189.8633
2023-02-09,190.2033
2023-02-10,190.5283
2023-02-11,190.5283
2023-02-12,190.5283
2023-02-13,191.64
2023-02-14,192.02
2023-02-15,192.375
2023-02-16,192.7833
2023-02-17,193.1933
2023-02-18,193.1933
2023-02-19,193.1933
2023-02-20,193.1933
2023-02-21,193.1933
2023-02-22,194.98
2023-02-23,195.35
2023-02-24,195.7383
2023-02-25,195.7383
2023-02-26,195.7383
2023-02-27,196.8117
2023-02-28,197.1533
2023-03-01,197.56
2023-03-02,197.8867
2023-03-03,198.26
2023-03-04,198.26
2023-03-05,198.26
2023-03-06,199.345
2023-03-07,199.6717
2023-03-08,200.0267
2023-03-09,200.3567
2023-03-10,200.7217
2023-03-11,200.7217
2023-03-12,200.7217
2023-03-13,201.8017
2023-03-14,202.1483
2023-03-15,202.5217
2023-03-16,202.955
2023-03-17,203.34
2023-03-18,203.34
2023-03-19,203.34
2023-03-20,204.4967
2023-03-21,204.9633
2023-03-22,205.395
2023-03-23,205.79
2023-03-24,205.79
2023-03-25,205.79
2023-03-26,205.79
2023-03-27,207.4017
2023-03-28,207.84
2023-03-29,208.2533
2023-03-30,208.5983
2023-03-31,208.9883
2023-04-01,208.9883
2023-04-02,208.9883
2023-04-03,210.33
2023-04-04,210.8
2023-04-05,211.235
2023-04-06,211.235
2023-04-07,211.235
2023-04-08,211.235
2023-04-09,211.235
2023-04-10,213.3283
2023-04-11,213.7983
2023-04-12,214.25
2023-04-13,214.665
2023-04-14,215.095
2023-04-15,215.095
2023-04-16,215.095
2023-04-17,216.3583
2023-04-18,216.8883
2023-04-19,217.47
2023-04-20,218.025
2023-04-21,218.5083
2023-04-22,218.5083
2023-04-23,218.5083
2023-04-24,220.235
2023-04-25,220.8733
2023-04-26,221.5517
2023-04-27,222.02
2023-04-28,222.575
2023-04-29,222.575
2023-04-30,222.575
2023-05-01,222.575
2023-05-02,224.625
2023-05-03,225.0917
2023-05-04,225.6583
2023-05-05,226.1917
2023-05-06,226.1917
2023-05-07,226.1917
2023-05-08,227.575
2023-05-09,228.0583
2023-05-10,228.5083
2023-05-11,228.9917
2023-05-12,229.3333
2023-05-13,229.3333
2023-05-14,229.3333
2023-05-15,230.6417
2023-05-16,231.175
2023-05-17,231.65
2023-05-18,232.2417
2023-05-19,232.7417
2023-05-20,232.7417
2023-05-21,232.7417
2023-05-22,234.4083
2023-05-23,234.9167
2023-05-24,235.6333
2023-05-25,235.6333
2023-05-26,235.6333
2023-05-27,235.6333
2023-05-28,235.6333
2023-05-29,238.2583
2023-05-30,238.7917
2023-05-31,239.325
2023-06-01,240.0667
2023-06-02,240.7417
2023-06-03,240.7417
2023-06-04,240.7417
2023-06-05,242.55
2023-06-06,243.175
2023-06-07,243.8083
2023-06-08,244.3333
2023-06-09,244.9667
2023-06-10,244.9667
2023-06-11,244.9667
2023-06-12,246.7833
2023-06-13,247.2917
2023-06-14,247.8
2023-06-15,248.5833
2023-06-16,249.1583
2023-06-17,249.1583
2023-06-18,249.1583
2023-06-19,249.1583
2023-06-20,249.1583
2023-06-21,252.0083
2023-06-22,252.5083
2023-06-23,252.9917
2023-06-24,252.9917
2023-06-25,252.9917
2023-06-26,254.5417
2023-06-27,255.1667
2023-06-28,255.8417
2023-06-29,256.2417
2023-06-30,256.675
2023-07-01,256.675
2023-07-02,256.675
2023-07-03,257.975
2023-07-04,259.15
2023-07-05,259.8
2023-07-06,260.325
2023-07-07,260.9833
2023-07-08,260.9833
2023-07-09,260.9833
2023-07-10,262.65
2023-07-11,263.3167
2023-07-12,263.9333
2023-07-13,264.5167
2023-07-14,265.1417
2023-07-15,265.1417
2023-07-16,265.1417
2023-07-17,266.7917
2023-07-18,267.5833
2023-07-19,268.225
2023-07-20,268.775
2023-07-21,269.4167
2023-07-22,269.4167
2023-07-23,269.4167
2023-07-24,271.1917
2023-07-25,271.6667
2023-07-26,272.4
2023-07-27,273
2023-07-28,273.6333
2023-07-29,273.6333
2023-07-30,273.6333
2023-07-31,275.2833
2023-08-01,276.1417
2023-08-02,277.3417
2023-08-03,278.2833
2023-08-04,279.3167
2023-08-05,279.3167
2023-08-06,279.3167
2023-08-07,283.15
2023-08-08,284.1917
2023-08-09,285.175
2023-08-10,286.1917
2023-08-11,287.2917
2023-08-12,287.2917
2023-08-13,287.2917
2023-08-14,349.975
2023-08-15,350.0083
2023-08-16,350
2023-08-17,349.975
2023-08-18,350.0167
2023-08-19,350.0167
2023-08-20,350.0167
2023-08-21,350.0167
2023-08-22,350.0083
2023-08-23,349.975
2023-08-24,349.975
2023-08-25,349.975
2023-08-26,349.975
2023-08-27,349.975
2023-08-28,349.9917
2023-08-29,349.975
2023-08-30,349.975
2023-08-31,350.0167
2023-09-01,350
2023-09-02,350
2023-09-03,350
2023-09-04,350.025
2023-09-05,349.9917
2023-09-06,350
2023-09-07,349.9917
2023-09-08,349.975
2023-09-09,349.975
2023-09-10,349.975
2023-09-11,349.9833
2023-09-12,349.975
2023-09-13,349.975
2023-09-14,349.975
2023-09-15,349.9917
2023-09-16,349.9917
2023-09-17,349.9917
2023-09-18,349.9917
2023-09-19,349.9833
2023-09-20,350
2023-09-21,349.9833
2023-09-22,350.025
2023-09-23,350.025
2023-09-24,350.025
2023-09-25,350.0083
2023-09-26,350.025
2023-09-27,350.025
2023-09-28,350.025
2023-09-29,350.0083
2023-09-30,350.0083
2023-10-01,350.0083
2023-10-02,350.025
2023-10-03,350.025
2023-10-04,350.025
2023-10-05,350.025
2023-10-06,350.025
2023-10-07,350.025
2023-10-08,350.025
2023-10-09,350.025
2023-10-10,350.025
2023-10-11,350.025
2023-10-12,350.025
2023-10-13,350.025
2023-10-14,350.025
2023-10-15,350.025
2023-10-16,350.025
2023-10-17,350.0167
2023-10-18,350.025
2023-10-19,350.025
2023-10-20,350.025
2023-10-21,350.025
2023-10-22,350.025
2023-10-23,350
2023-10-24,350.025
2023-10-25,350.0167
2023-10-26,350.0083
2023-10-27,350.0083
2023-10-28,350.0083
2023-10-29,350.0083
2023-10-30,350.025
2023-10-31,350.0083
2023-11-01,349.9917
2023-11-02,350.025
2023-11-03,350.025
2023-11-04,350.025
2023-11-05,350.025
2023-11-06,350.025
2023-11-07,350.025
2023-11-08,350.025
2023-11-09,350.025
2023-11-10,350
2023-11-11,350
2023-11-12,350
2023-11-13,350.025
2023-11-14,350.025
2023-11-15,353.0083
2023-11-16,353.475
2023-11-17,354.0083
2023-11-18,354.0083
2023-11-19,354.0083
2023-11-20,354.0083
2023-11-21,356.025
2023-11-22,356.5083
2023-11-23,357.0083
2023-11-24,357.525
2023-11-25,357.525
2023-11-26,357.525
2023-11-27,359.025
2023-11-28,359.525
2023-11-29,360.0083
2023-11-30,360.525
2023-12-01,361.025
2023-12-02,361.025
2023-12-03,361.025
2023-12-04,362.525
2023-12-05,363.025
2023-12-06,363.55
2023-12-07,364.4083
2023-12-08,364.4083
2023-12-09,364.4083
2023-12-10,364.4083
2023-12-11,366
2023-12-12,366.5
2023-12-13,799.975
2023-12-14,800.525
2023-12-15,801.075
2023-12-16,801.075
2023-12-17,801.075
2023-12-18,802.625
2023-12-19,803.175
2023-12-20,803.725
2023-12-21,804.225
2023-12-22,804.775
2023-12-23,804.775
2023-12-24,804.775
2023-12-25,804.775
2023-12-26,806.8833
2023-12-27,807.425
2023-12-28,807.975
2023-12-29,808.4833
2023-12-30,808.4833
2023-12-31,808.4833
2024-01-01,808.4833
2024-01-02,810.65
2024-01-03,811.15
2024-01-04,811.75
2024-01-05,812.25
2024-01-06,812.25
2024-01-07,812.25
2024-01-08,813.85
2024-01-09,814.35
2024-01-10,814.95
2024-01-11,815.45
2024-01-12,816.05
2024-01-13,816.05
2024-01-14,816.05
2024-01-15,817.65
2024-01-16,818.15
2024-01-17,818.65
2024-01-18,819.25
2024-01-19,819.75
2024-01-20,819.75
2024-01-21,819.75
2024-01-22,821.45
2024-01-23,821.95
2024-01-24,822.45
2024-01-25,823.05
2024-01-26,823.55
2024-01-27,823.55
2024-01-28,823.55
2024-01-29,825.25
2024-01-30,825.75
2024-01-31,826.25
2024-02-01,826.85
2024-02-02,827.35
2024-02-03,827.35
2024-02-04,827.35
2024-02-05,829.05
2024-02-06,829.55
2024-02-07,830.15
2024-02-08,830.65
2024-02-09,831.25
2024-02-10,831.25
2024-02-11,831.25
2024-02-12,831.25
2024-02-13,831.25
2024-02-14,833.95
2024-02-15,834.5667
2024-02-16,835.05
2024-02-17,835.05
2024-02-18,835.05
2024-02-19,836.75
2024-02-20,837.25
2024-02-21,837.85
2024-02-22,838.35
2024-02-23,838.95
2024-02-24,838.95
2024-02-25,838.95
2024-02-26,840.65
2024-02-27,841.15
2024-02-28,841.75
2024-02-29,842.25
2024-03-01,842.75
2024-03-02,842.75
2024-03-03,842.75
2024-03-04,844.25
2024-03-05,845.25
2024-03-06,845.75
2024-03-07,846.25
2024-03-08,846.75
2024-03-09,846.75
2024-03-10,846.75
2024-03-11,848.25
2024-03-12,848.75
2024-03-13,849.75
2024-03-14,850.25
2024-03-15,850.75
2024-03-16,850.75
2024-03-17,850.75
2024-03-18,852.25
2024-03-19,852.75
2024-03-20,853.25
2024-03-21,854.25
2024-03-22,854.75
2024-03-23,854.75
2024-03-24,854.75
2024-03-25,856.25
2024-03-26,856.75
2024-03-27,857.4167
2024-03-28,857.4167
2024-03-29,857.4167
2024-03-30,857.4167
2024-03-31,857.4167
2024-04-01,857.4167
2024-04-02,857.4167
2024-04-03,861.25
2024-04-04,861.75
2024-04-05,862.75
2024-04-06,862.75
2024-04-07,862.75
2024-04-08,864.25
2024-04-09,864.75
2024-04-10,865.25
2024-04-11,865.75
2024-04-12,866.75
2024-04-13,866.75
2024-04-14,866.75
2024-04-15,868.25
2024-04-16,868.75
2024-04-17,869.25
2024-04-18,869.75
2024-04-19,870.75
2024-04-20,870.75
2024-04-21,870.75
2024-04-22,872.25
2024-04-23,872.75
2024-04-24,873.25
2024-04-25,873.75
2024-04-26,874.75
2024-04-27,874.75
2024-04-28,874.75
2024-04-29,876.4167
2024-04-30,876.75
2024-05-01,876.75
2024-05-02,878.25
2024-05-03,878.75
2024-05-04,878.75
2024-05-05,878.75
2024-05-06,880.25
2024-05-07,880.75
2024-05-08,881.75
2024-05-09,882.25
2024-05-10,882.75
2024-05-11,882.75
2024-05-12,882.75
2024-05-13,884.25
2024-05-14,885.25
2024-05-15,885.75
2024-05-16,886.25
2024-05-17,886.75
2024-05-18,886.75
2024-05-19,886.75
2024-05-20,888.75
2024-05-21,889.25
2024-05-22,889.75
2024-05-23,890.25
2024-05-24,890.75
2024-05-25,890.75
2024-05-26,890.75
2024-05-27,892.75
2024-05-28,893.25
2024-05-29,893.75
2024-05-30,894.25
2024-05-31,895.25
